# Reviews,Wine Type,Country,Discounted Price,Final Price,Grape Variety,Number of Records,Original Price,Rating Name,Rating Score,Region,Regular Price,Wine Name,Year
1,Dessert,Portugal,17.99,17.99,Port,1,22,W&S,91,,,Quinta do Noval Noval Black,
1,Dessert,Portugal,17.99,17.99,Port,1,22,W&S,91,,,Quinta do Noval Noval Black,
3,Dessert,Portugal,16.99,16.99,Port,1,19,W&S,90,,,Warre's Warrior Port,
3,Dessert,Portugal,16.99,16.99,Port,1,19,W&S,90,,,Warre's Warrior Port,
3,Dessert,Portugal,16.99,16.99,Port,1,19,W&S,90,,,Warre's Warrior Port,
3,Dessert,Portugal,16.99,16.99,Port,1,19,W&S,90,,,Warre's Warrior Port,
,Dessert,France,24.99,24.99,Other Dessert,1,35,WE,97,Bordeaux,,Chateau Doisy Vedrines Sauternes (375ML half-bottle),2011
,Dessert,France,24.99,24.99,Other Dessert,1,35,WE,97,Bordeaux,,Chateau Doisy Vedrines Sauternes (375ML half-bottle),2011
,Dessert,France,24.99,24.99,Other Dessert,1,35,WE,97,Bordeaux,,Chateau Doisy Vedrines Sauternes (375ML half-bottle),2011
,Dessert,France,24.99,24.99,Other Dessert,1,35,WE,97,Bordeaux,,Chateau Doisy Vedrines Sauternes (375ML half-bottle),2011
,Dessert,France,24.99,24.99,Other Dessert,1,35,WE,97,Bordeaux,,Chateau Doisy Vedrines Sauternes (375ML half-bottle),2011
,Dessert,France,24.99,24.99,Other Dessert,1,35,WE,97,Bordeaux,,Chateau Doisy Vedrines Sauternes (375ML half-bottle),2011
1,Dessert,USA,,12.99,Port,1,,WE,93,California,12.99,Terra d'Oro Zinfandel Port (375ML half-bottle),
1,Dessert,USA,,12.99,Port,1,,WE,93,California,12.99,Terra d'Oro Zinfandel Port (375ML half-bottle),
1,Dessert,USA,,12.99,Port,1,,WE,93,California,12.99,Terra d'Oro Zinfandel Port (375ML half-bottle),
2,Dessert,France,59.99,59.99,Other Dessert,1,90,WS,96,Bordeaux,,Chateau Rieussec Sauternes,2010
2,Dessert,France,59.99,59.99,Other Dessert,1,90,WS,96,Bordeaux,,Chateau Rieussec Sauternes,2010
2,Dessert,France,59.99,59.99,Other Dessert,1,90,WS,96,Bordeaux,,Chateau Rieussec Sauternes,2010
2,Dessert,Portugal,,12.99,Port,1,,WS,90,,12.99,Croft Fine Ruby,
2,Dessert,Portugal,,12.99,Port,1,,WS,90,,12.99,Croft Fine Ruby,
2,Dessert,Portugal,,12.99,Port,1,,WS,90,,12.99,Croft Fine Ruby,
2,Dessert,Portugal,,12.99,Port,1,,WS,90,,12.99,Croft Fine Ruby,
2,Dessert,Portugal,,12.99,Port,1,,WS,90,,12.99,Croft Fine Ruby,
2,Dessert,Portugal,,12.99,Port,1,,WS,90,,12.99,Croft Fine Ruby,
2,Dessert,Portugal,,12.99,Port,1,,WS,90,,12.99,Croft Fine Ruby,
5,Dessert,Portugal,,19.99,Port,1,,WS,90,,19.99,Fonseca Bin No. 27 Port,
5,Dessert,Portugal,,19.99,Port,1,,WS,90,,19.99,Fonseca Bin No. 27 Port,
5,Dessert,Portugal,,19.99,Port,1,,WS,90,,19.99,Fonseca Bin No. 27 Port,
5,Dessert,Portugal,,19.99,Port,1,,WS,90,,19.99,Fonseca Bin No. 27 Port,
5,Dessert,Portugal,,19.99,Port,1,,WS,90,,19.99,Fonseca Bin No. 27 Port,
5,Dessert,Portugal,,19.99,Port,1,,WS,90,,19.99,Fonseca Bin No. 27 Port,
1,Dessert,Portugal,,18.99,Port,1,,WS,90,,18.99,Fonseca Bin No. 27 Port Limited Edition Artist Series,
1,Dessert,Portugal,,18.99,Port,1,,WS,90,,18.99,Fonseca Bin No. 27 Port Limited Edition Artist Series,
1,Dessert,Portugal,,18.99,Port,1,,WS,90,,18.99,Fonseca Bin No. 27 Port Limited Edition Artist Series,
,Dessert,Portugal,,22.99,Port,1,,WS,93,,22.99,Fonseca Late Bottled Vintage,2008
,Dessert,Portugal,,22.99,Port,1,,WS,93,,22.99,Fonseca Late Bottled Vintage,2008
,Dessert,Portugal,,22.99,Port,1,,WS,93,,22.99,Fonseca Late Bottled Vintage,2008
