Wine Type,Final Price,Grape Variety,Rating Score,Wine Name,Alcohol_Percent
Red,16.99,Other Red Blends,90,Tenuta La Badiola 642 Maremma Toscana,0
Red,64.99,Other Red Blends,97,Tenuta Sette Ponti Oreno,0
Red,99.99,Sangiovese,98,Bibi Graetz Testamatta,0
Red,19.99,Sangiovese,92,Borgo Scopeto Borgonero,0
Red,16.99,Sangiovese,90,Borgo Scopeto Chianti Classico,0
Red,36.99,Sangiovese,95,Caparzo Brunello di Montalcino,0
Red,77.99,Sangiovese,93,Casanova di Neri Brunello di Montalcino Tenuta Nuova,0
Red,24.99,Sangiovese,93,Castello di Querceto Chianti Classico Riserva,0
Red,49.99,Sangiovese,91,Fattoria dei Barbi Brunello di Montalcino,0
Red,13.99,Sangiovese,90,Fattoria del Cerro Chianti Colli Senesi,0
Red,19.99,Sangiovese,91,Frescobaldi Nipozzano Chianti Rufina Riserva,0
Red,59.99,Sangiovese,95,Gianni Brunelli Brunello di Montalcino,0
Red,51.99,Sangiovese,97,La Serena Brunello di Montalcino,0
Red,24.99,Sangiovese,92,Tenuta di Nozzole Chianti Classico Riserva,0
Red,49.99,Sangiovese,92,Tenute Silvio Nardi Brunello di Montalcino,0
Red,239,Sangiovese,99,Valdicava Brunello di Montalcino (1.5 Liter Magnum),0
Red,57.99,Pinot Noir,95,Escarpment Kiwa Pinot Noir,0
Red,59.99,Pinot Noir,97,Escarpment Pahi Pinot Noir,0
Red,69.99,Cabernet Sauvignon,91,Duckhorn Napa Cabernet Sauvignon,0
Red,99,Cabernet Sauvignon,93,Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon,0
Red,19.99,Pinot Noir,92,Schug Sonoma Coast Pinot Noir,0
Red,16.99,Cabernet Sauvignon,90,Catena Cabernet Sauvignon,0
Red,24.99,Malbec,90,Luigi Bosca Malbec,0
Red,18.99,Malbec,92,TintoNegro Limestone Block Malbec,0
Red,13.99,Malbec,91,TintoNegro Uco Valley-Mendoza Malbec,0
Red,33.99,Pinot Noir,91,Luca Pinot Noir,0
Red,59.99,Cabernet Sauvignon,90,Mollydooker Gigglepot Cabernet Sauvignon,0
Red,16.99,Other Red Blends,90,Heartland Spice Trader Shiraz Cabernet Sauvignon,0
Red,27.99,Cabernet Sauvignon,91,Langmeil The Blacksmith Cabernet Sauvignon,0
Red,19.99,Rhone Red Blends,91,Rustom Farm Pughouse Shiraz Grenache,0
Red,29.99,Syrah/Shiraz,92,Penfolds Kalimna Bin 28 Shiraz,0
Red,149,Syrah/Shiraz,99,Clarendon Hills Astralis Syrah,0
Red,139,Syrah/Shiraz,97,Clarendon Hills Astralis Syrah,0
Red,26.99,Pinot Noir,93,Matetic EQ Pinot Noir,0
Red,17.99,Other Red Blends,91,Locations by Dave Phinney F-2,0
Red,129,Bordeaux,95,Chateau Gracia,0
Red,64.99,Bordeaux,95,Chateau Larcis-Ducasse,0
Red,249,Bordeaux,100,Chateau Leoville Poyferre,0
Red,269,Bordeaux,100,Chateau Montrose,0
Red,79.99,Bordeaux,95,Chateau Pape Clement (Futures Pre-sale),0
Red,13.99,Rhone Red Blends,91,Bila-Haut by Michel Chapoutier Bila-Haut Cotes du Roussillon-Villages,0
Red,29.99,Rhone Red Blends,94,Bila-Haut by Michel Chapoutier Occultum Lapidem,0
Red,22.99,Rhone Red Blends,93,Domaine de Mourchon Cotes du Rhone Villages Seguret Grande Reserve,0
Red,64.99,Rhone Red Blends,96,Vieille Julienne Chateauneuf-du-Pape Les Trois Sources,0
Red,17.99,Other Red Blends,90,Locations by Dave Phinney I-1,0
