,index,Wine Type,Country,Final Price,Grape Variety,Rating Score,Wine Name,alcohol_percent,food_pairing
62,2537,Red,France,19.99,Bordeaux,91.0,Chateau Baret,0,
63,2546,Red,France,25.99,Bordeaux,93.0,Chateau Clos des Jacobins (Futures Pre-sale),0,
64,2554,Red,France,339.0,Bordeaux,100.0,Chateau Ducru Beaucaillou,0,
65,2560,Red,France,19.99,Bordeaux,92.0,Chateau Fourcas Dupre,0,
66,2569,Red,France,34.99,Bordeaux,93.0,Chateau Franc Mayne,0,
67,2571,Red,France,49.99,Bordeaux,93.0,Chateau la Vieille Cure (1.5L Magnum),0,
68,2577,Red,France,189.0,Bordeaux,98.0,Chateau Lynch-Bages,0,
69,2586,Red,France,12.99,Bordeaux,92.0,Chateau Marsau Cotes de Francs (375ML half-bottle),0,
70,2588,Red,France,39.99,Bordeaux,95.0,Chateau Olivier,0,
71,2594,Red,France,145.0,Bordeaux,98.0,Chateau Rauzan Segla,0,
72,2600,Red,France,59.99,Bordeaux,96.0,Clos du Marquis,0,
73,2606,Red,France,89.99,Bordeaux,97.0,Domaine de Chevalier,0,
74,2614,Red,Italy,12.99,Other Red Blends,90.0,Fattoria del Cerro Rosso di Montepulciano,0,
75,2615,Red,Italy,15.99,Other Red Wine,91.0,Zaccagnini Il Vino Dal Tralcetto Montepulciano d'Abruzzo,0,
76,2616,Red,Italy,34.99,Nebbiolo,93.0,Rocche Costamagna Barolo Rocche dell'Annunziata,0,
77,2622,Red,Italy,19.99,Nero d'Avola,91.0,Tasca d'Almerita Lamuri Nero d'Avola Sicilia,0,
78,2629,Red,Italy,99.0,Other Red Blends,95.0,Antinori Guado al Tasso,0,
79,2635,Red,Italy,12.99,Other Red Blends,90.0,Banfi Centine Toscana,0,
80,2644,Red,Italy,28.99,Other Red Blends,92.0,Luce Della Vite Lucente,0,
81,2650,Red,Italy,11.99,Other Red Blends,90.0,Monte Antico Rosso,0,
82,2651,Red,Italy,16.99,Other Red Blends,90.0,Tenuta La Badiola 642 Maremma Toscana,0,
83,2654,Red,Italy,64.99,Other Red Blends,97.0,Tenuta Sette Ponti Oreno,0,
84,2655,Red,Italy,99.99,Sangiovese,98.0,Bibi Graetz Testamatta,0,
85,2656,Red,Italy,19.99,Sangiovese,92.0,Borgo Scopeto Borgonero,0,
86,2662,Red,Italy,16.99,Sangiovese,90.0,Borgo Scopeto Chianti Classico,0,
87,2663,Red,Italy,36.99,Sangiovese,95.0,Caparzo Brunello di Montalcino,0,
88,2664,Red,Italy,77.99,Sangiovese,93.0,Casanova di Neri Brunello di Montalcino Tenuta Nuova,0,
89,2672,Red,Italy,24.99,Sangiovese,93.0,Castello di Querceto Chianti Classico Riserva,0,
90,2673,Red,Italy,49.99,Sangiovese,91.0,Fattoria dei Barbi Brunello di Montalcino,0,
91,2679,Red,Italy,13.99,Sangiovese,90.0,Fattoria del Cerro Chianti Colli Senesi,0,
92,2685,Red,Italy,19.99,Sangiovese,91.0,Frescobaldi Nipozzano Chianti Rufina Riserva,0,
93,2686,Red,Italy,59.99,Sangiovese,95.0,Gianni Brunelli Brunello di Montalcino,0,
94,2687,Red,Italy,51.99,Sangiovese,97.0,La Serena Brunello di Montalcino,0,
95,2688,Red,Italy,24.99,Sangiovese,92.0,Tenuta di Nozzole Chianti Classico Riserva,0,
96,2690,Red,Italy,49.99,Sangiovese,92.0,Tenute Silvio Nardi Brunello di Montalcino,0,
97,2693,Red,Italy,239.0,Sangiovese,99.0,Valdicava Brunello di Montalcino (1.5 Liter Magnum),0,
98,2700,Red,New Zealand,57.99,Pinot Noir,95.0,Escarpment Kiwa Pinot Noir,0,
99,2706,Red,New Zealand,59.99,Pinot Noir,97.0,Escarpment Pahi Pinot Noir,0,
100,2707,Red,USA,69.99,Cabernet Sauvignon,91.0,Duckhorn Napa Cabernet Sauvignon,0,
101,2714,Red,USA,99.0,Cabernet Sauvignon,93.0,Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon,0,
102,2720,Red,USA,19.99,Pinot Noir,92.0,Schug Sonoma Coast Pinot Noir,0,
103,2721,Red,Argentina,16.99,Cabernet Sauvignon,90.0,Catena Cabernet Sauvignon,0,
104,2729,Red,Argentina,24.99,Malbec,90.0,Luigi Bosca Malbec,0,
105,2736,Red,Argentina,18.99,Malbec,92.0,TintoNegro Limestone Block Malbec,0,
106,2737,Red,Argentina,13.99,Malbec,91.0,TintoNegro Uco Valley-Mendoza Malbec,0,
107,2738,Red,Argentina,33.99,Pinot Noir,91.0,Luca Pinot Noir,0,
108,2746,Red,Australia,59.99,Cabernet Sauvignon,90.0,Mollydooker Gigglepot Cabernet Sauvignon,0,
109,2749,Red,Australia,16.99,Other Red Blends,90.0,Heartland Spice Trader Shiraz Cabernet Sauvignon,0,
110,2756,Red,Australia,27.99,Cabernet Sauvignon,91.0,Langmeil The Blacksmith Cabernet Sauvignon,0,
111,2758,Red,Australia,19.99,Rhone Red Blends,91.0,Rustom Farm Pughouse Shiraz Grenache,0,
112,2765,Red,Australia,29.99,Syrah/Shiraz,92.0,Penfolds Kalimna Bin 28 Shiraz,0,
113,2767,Red,Australia,149.0,Syrah/Shiraz,99.0,Clarendon Hills Astralis Syrah,0,
114,2780,Red,Chile,26.99,Pinot Noir,93.0,Matetic EQ Pinot Noir,0,
115,2781,Red,France,17.99,Other Red Blends,91.0,Locations by Dave Phinney F-2,0,
116,2782,Red,France,129.0,Bordeaux,95.0,Chateau Gracia,0,
117,2785,Red,France,64.99,Bordeaux,95.0,Chateau Larcis-Ducasse,0,
118,2794,Red,France,249.0,Bordeaux,100.0,Chateau Leoville Poyferre,0,
119,2795,Red,France,269.0,Bordeaux,100.0,Chateau Montrose,0,
120,2798,Red,France,79.99,Bordeaux,95.0,Chateau Pape Clement (Futures Pre-sale),0,
